filename,scatterness
noteable_discussion.vue,0.0
noteable_note.vue,0.0
notes_app.vue,0.0
note_actions.vue,0.0
note_attachment.vue,0.0
note_awards_list.vue,0.0
note_body.vue,0.0
note_edited_text.vue,0.0
note_form.vue,0.0
note_header.vue,0.0
note_signed_out_widget.vue,0.0
autosave.js,2.9391
discussion_navigation.js,3.3673
issuable_state.js,2.70805
noteable.js,1.79176
resolvable.js,3.71437
notes_service.js,0.0
actions.js,5.18737
collapse_utils.js,4.68213
getters.js,4.93155
index.js,2.68595
mutations.js,4.96881
mutation_types.js,2.81142
utils.js,3.32847
index.js,3.24449
constants.js,1.79176
admin.js,0.0
index.js,1.09861
abuse_reports.js,0.0
index.js,1.09861
index.js,1.90615
broadcast_message.js,0.0
index.js,1.09861
index.js,1.09861
index.js,2.19722
index.js,1.09861
index.js,1.09861
index.js,3.19315
stop_jobs_modal.vue,3.80695
index.js,1.09861
index.js,1.09861
index.js,2.19722
index.js,3.6011
delete_project_modal.vue,4.79504
index.js,0.0
delete_user_modal.vue,0.0
index.js,1.09861
index.js,1.09861
index.js,1.94591
index.js,1.94591
index.js,1.09861
index.js,2.27187
index.js,1.09861
index.js,1.09861
todos.js,0.0
index.js,2.51266
index.js,1.09861
index.js,1.09861
index.js,2.19722
index.js,2.52321
index.js,2.3979
index.js,2.14584
index.js,1.09861
index.js,1.09861
index.js,1.09861
index.js,2.14584
index.js,1.09861
index.js,1.09861
index.js,1.83437
index.js,2.19722
index.js,2.30259
index.js,2.42602
index.js,2.96502
index.js,1.90615
index.js,1.09861
index.js,1.09861
index.js,2.19722
index.js,1.09861
index.js,1.09861
index.js,0.0
usage_ping.js,0.0
index.js,0.0
index.js,1.09861
delete_milestone_modal_init.js,4.37291
event_hub.js,1.09861
index.js,1.60944
init_milestones_show.js,0.0
promote_milestone_modal_init.js,4.24928
delete_milestone_modal.vue,4.68788
promote_milestone_modal.vue,4.05641
index.js,1.09861
index.js,2.5993
index.js,1.09861
index.js,1.94591
index.js,2.77259
index.js,1.94591
index.js,1.09861
emoji_menu.js,2.89037
index.js,4.10056
index.js,0.0
constants.js,1.79176
index.js,2.55751
init_blob.js,3.4187
init_form.js,0.0
project.js,0.0
index.js,1.94591
index.js,1.94591
index.js,1.94591
index.js,1.09861
index.js,1.09861
index.js,1.09861
index.js,3.33577
index.js,2.04319
index.js,1.94591
index.js,1.56071
ci_lint_editor.js,0.0
index.js,0.0
index.js,0.0
index.js,1.60944
index.js,0.69315
index.js,1.60944
index.js,1.60944
index.js,1.60944
index.js,2.14584
index.js,2.97138
index.js,2.19722
index.js,1.09861
index.js,2.16396
index.js,1.09861
index.js,2.42602
index.js,1.09861
index.js,0.0
index.js,1.09861
index.js,1.09861
index.js,2.45831
index.js,1.09861
index.js,0.0
index.js,0.0
stat_graph_contributors.js,0.0
stat_graph_contributors_graph.js,0.0
stat_graph_contributors_util.js,0.0
index.js,1.60944
form.js,2.65932
show.js,2.56495
index.js,0.69315
index.js,2.58231
index.js,0.69315
index.js,1.03972
index.js,1.09861
index.js,1.09861
event_hub.js,1.09861
promote_label_modal.vue,4.09123
index.js,1.09861
index.js,4.28847
index.js,1.09861
init_merge_request.js,2.8571
init_merge_request_show.js,2.27187
index.js,1.74787
index.js,0.0
compare.js,4.09434
index.js,2.39591
target_project_dropdown.js,3.09104
index.js,1.09861
index.js,2.52321
index.js,1.32966
index.js,1.09861
index.js,1.09861
index.js,1.09861
index.js,1.74787
network.js,0.0
index.js,2.75167
index.js,1.33218
init_pipelines.js,2.77259
index.js,0.69315
index.js,4.01873
index.js,0.69315
index.js,0.0
index.js,2.25386
index.js,1.03972
index.js,1.09861
index.js,1.09861
index.js,0.0
index.js,1.09861
init_form.js,0.0
interval_pattern_input.vue,0.0
pipeline_schedules_callout.vue,0.0
target_branch_dropdown.js,0.0
timezone_dropdown.js,0.0
index.js,1.09861
index.js,2.48491
index.js,1.09861
index.js,1.03972
index.js,0.0
