filename,scatterness
env_windows_installdir_fact.rb,2.87545
eventlog.rb,3.13579
QA-506_windows_exit_codes_test.rb,4.45258
QA-760_win_dash_dot_file_test.rb,3.77865
execute.pp,2.56495
init.pp,2.77259
http_api_index.md,0.0
http_catalog.md,5.79667
http_certificate.md,0.0
http_certificate_request.md,4.98901
http_certificate_revocation_list.md,5.16213
http_certificate_status.md,4.7268
http_environment.md,4.31271
http_environments.md,3.46474
http_facts.md,2.79851
http_file_bucket_file.md,4.41704
http_file_content.md,4.07926
http_file_metadata.md,5.51286
http_node.md,3.89713
http_report.md,4.45338
http_status.md,3.68888
pson.md,3.85038
catalog.json,5.05357
environments.json,3.86646
error.json,2.56495
facts.json,0.0
file_metadata.json,3.67796
host.json,3.78419
json-meta-schema.json,5.01064
node.json,2.87148
report.json,6.28295
status.json,2.89037
discover.rb,0.0
puppet_rspec.rb,0.0
README.markdown,3.80666
rspec.rb,0.0
benchmarker.rb,4.58822
description,1.60944
puppet.conf.erb,1.38629
site.pp.erb,0.0
benchmarker.rb,4.29046
description,1.09861
puppet.conf.erb,1.09861
site.pp.erb,1.38629
testing.pp.erb,1.09861
benchmarker.rb,4.65396
description,2.30259
puppet.conf.erb,1.38629
site.pp.erb,0.69315
function.erb,1.60944
global_function.erb,1.60944
init.pp.erb,1.38629
init.pp_no_call.erb,0.69315
benchmarker.rb,3.73797
description,1.38629
puppet.conf.erb,1.38629
site.pp.erb,0.0
benchmarker.rb,4.7535
benchmarker_task.rb,2.3979
description,2.56495
puppet.conf.erb,1.38629
site.pp.erb,2.30259
assert_type.pp,1.79176
fcall_3x.pp,1.79176
fcall_4x.pp,1.79176
fcall_ns4x.pp,1.79176
interpolation.pp,2.3979
var_absolute.pp,1.09861
var_class_absolute.pp,1.60944
var_class_relative.pp,1.60944
var_relative.pp,1.09861
func3.rb.erb,2.07944
func4.rb.erb,2.19722
init.pp.erb,0.0
module1_func4.rb.erb,2.19722
benchmarker.rb,4.34381
description,1.09861
puppet.conf.erb,1.09861
site.pp.erb,0.0
badclass.pp.erb,3.3673
params.pp.erb,1.60944
benchmarker.rb,4.76217
description,0.0
Gemfile,1.09861
hiera.yaml.erb,3.21888
puppet.conf.erb,0.69315
r10k.yaml,0.0
site.pp.erb,1.09861
benchmarker.rb,4.52349
description,1.79176
env_function.erb,1.60944
puppet.conf.erb,1.60944
site.pp.erb,1.03972
function.erb,1.60944
init.pp.erb,2.19722
benchmarker.rb,4.27667
description,0.69315
puppet.conf.erb,1.60944
benchmarker.rb,4.51086
description,0.69315
puppet.conf.erb,1.60944
benchmarker.rb,4.44265
description,0.69315
puppet.conf.erb,1.60944
benchmarker.rb,4.44265
description,0.69315
puppet.conf.erb,1.60944
benchmarker.rb,4.59512
description,0.69315
puppet.conf.erb,1.60944
benchmarker.rb,4.57471
description,0.69315
puppet.conf.erb,1.60944
benchmarker.rb,4.15888
description,0.69315
benchmarker.rb,3.63759
description,0.69315
benchmarker.rb,0.0
description,1.09861
puppet.conf.erb,1.09861
site.pp.erb,1.09861
init.pp.erb,1.09861
internal.pp.erb,1.09861
benchmarker.rb,4.14313
description,1.09861
puppet.conf.erb,1.09861
site.pp.erb,1.60944
testmodule.pp.erb,1.09861
benchmarker.rb,3.83524
catalog.json,10.52538
description,1.09861
benchmarker.rb,2.83321
description,0.69315
benchmarker.rb,3.98898
description,1.38629
puppet.conf.erb,1.38629
site.pp.erb,2.30259
benchmarker.rb,3.8712
description,1.38629
puppet.conf.erb,1.38629
site.pp.erb,1.94591
puppet,0.0
auth.conf,4.47669
environment.conf,2.89037
fileserver.conf,0.0
hiera.yaml,2.3979
puppet.conf,1.79176
catalogs.md,4.77594
index.md,2.75167
parser_work.md,5.57215
profiling.md,3.8864
quickstart.md,4.0809
rspec_tutorial.md,5.78603
unicode.md,3.41249
windows.md,4.10987
README.md,0.0
site.pp,0.0
hiera.yaml,0.0
puppet.conf,0.0
common.yaml,0.0
dc1.yaml,0.0
development.yaml,0.0
common.pp,0.0
config.pp,0.0
data.pp,0.0
ntp.conf.erb,0.0
common.pp,0.0
dc1.pp,0.0
development.pp,0.0
build_defaults.yaml,2.43079
cert_inspector,4.94164
dbfix.sql,4.50472
envpuppet,4.60535
envpuppet.bat,2.34199
project_data.yaml,3.76075
puppet-test,5.77763
README.environment,0.0
upload_facts.rb,4.73544
yaml_nodes.rb,4.54834
config,3.7612
Rakefile,2.07944
readme.rst,2.5993
changelog.erb,6.99321
compat,0.0
control,4.78563
copyright,5.7589
docs,0.0
fileserver.conf,3.64595
puppet-common.dirs,2.09815
puppet-common.install,0.69315
puppet-common.lintian-overrides,1.60944
puppet-common.manpages,3.17805
puppet-common.postinst,3.42157
puppet-common.postrm,3.4545
puppet-el.dirs,0.0
puppet-el.emacsen-install,3.21888
puppet-el.emacsen-remove,2.3979
puppet-el.emacsen-startup,2.19722
puppet-el.install,0.0
puppet-testsuite.install,0.0
puppet-testsuite.lintian-overrides,1.38629
puppet.default,0.69315
puppet.init,4.46188
puppet.lintian-overrides,1.09861
puppet.logrotate,2.55368
puppet.postinst,2.99573
puppet.postrm,2.99573
puppet.preinst,2.99573
puppetmaster-common.install,0.69315
puppetmaster-common.manpages,0.0
puppetmaster-common.postinst,1.79176
puppetmaster-passenger.dirs,1.38629
puppetmaster-passenger.postinst,4.7185
puppetmaster-passenger.postrm,3.74726
puppetmaster.default,2.24504
puppetmaster.init,4.60094
puppetmaster.lintian-overrides,1.09861
puppetmaster.postinst,2.99573
puppetmaster.postrm,1.60944
puppetmaster.preinst,3.09104
puppetmaster.README.debian,2.67012
README.Debian,2.07944
README.source,0.69315
rules,4.65175
TODO.Debian,0.0
vim-puppet.dirs,1.60944
vim-puppet.README.Debian,2.56495
vim-puppet.yaml,1.94591
watch,0.69315
format,0.0
options,0.0
puppetd,0.0
puppetmasterd,0.0
puppet,0.0
puppetmaster,0.0
puppet,0.0
puppetmaster,0.0
fileserver.conf,3.71357
hiera.yaml,2.70805
puppet-agent,3.44308
puppet-master,3.78419
puppet.p5m.erb,2.48491
puppetagent.xml,3.6011
puppetmaster.xml,3.73767
rules,2.94444
transforms,3.52636
puppet.schema,2.77385
puppet,3.13549
check_puppet.rb,4.53318
file_mapping.yaml,3.3322
postflight.erb,4.5896
preflight.erb,3.3778
prototype.plist.erb,0.0
puppet.plist,3.3322
dsl_test.rb,1.94591
client.init,0.0
client.sysconfig,0.0
fileserver.conf,3.71357
logrotate,0.0
puppet.spec.erb,0.0
server.init,0.0
server.sysconfig,0.0
regexp_nodes.rb,5.1586
databases,0.69315
webservers,0.69315
development,0.69315
prod,0.0
qa,0.0
sandbox,0.0
pkginfo,0.0
puppet,3.78419
puppet.xml,3.78419
puppetd.xml,0.0
puppetmasterd.xml,0.0
svc-puppetd,0.0
svc-puppetmasterd,0.0
client.init,0.0
puppet.spec,0.0
server.init,0.0
puppet.service,0.0
puppet_interactive.bat,1.79176
puppet_shell.bat,2.19722
run_puppet_interactive.bat,2.19722
puppetres.dll,0.0
puppetres.mc,0.0
Rakefile,0.0
daemon.bat,0.0
daemon.rb,0.0
hiera_puppet.rb,4.24355
puppet.rb,0.0
puppet_pal.rb,6.18068
puppet_x.rb,0.0
puppet_function.rb,4.04282
scope.rb,3.73593
agent.rb,0.0
application.rb,5.82156
application_support.rb,3.75283
coercion.rb,3.65422
