Issue Type,Issue key,Status,Created,Priority,Resolved,Bug age,,,,,,,,,,
Bug,PUP-8046,Closed,10/11/2017,Critical,10/27/2017,16,,,,,,,,,,
Bug,PUP-8225,Closed,12/4/2017,Critical,1/29/2018,56,,,,,,,,,,
Bug,PUP-8256,Closed,12/15/2017,Critical,12/18/2017,3,,,,,,,,,,
Bug,PUP-8295,Closed,12/26/2017,Critical,2/9/2018,45,,,,,,,,,,
Bug,PUP-8296,Closed,12/27/2017,Critical,12/28/2017,1,,,,,,,,,,
Bug,PUP-8633,Closed,4/5/2018,Critical,4/10/2018,5,,,,,,,,,,
Bug,PUP-8668,Closed,4/19/2018,Critical,10/29/2018,193,,,,,,,,,,
Bug,PUP-8691,Closed,5/2/2018,Critical,11/28/2018,210,,,,,,,,,,
Bug,PUP-9155,Closed,9/18/2018,Critical,9/24/2018,6,,,,,,,,,,
Bug,PUP-9291,Closed,10/30/2018,Critical,10/30/2018,0,,,,,,,,,,
Bug,PUP-221,Resolved,8/9/2013,Critical,8/12/2013,3,,,,,,,,,,
Bug,PUP-257,Resolved,8/20/2013,Critical,9/4/2013,15,,,,,,,,,,
Bug,PUP-337,Resolved,9/13/2013,Critical,10/2/2013,19,,,,,,,,,,
Bug,PUP-1583,Resolved,2/4/2014,Critical,1/12/2017,1073,,,,,,,,,,
Bug,PUP-6716,Resolved,11/20/2015,Critical,10/9/2018,1054,,,,,,,,,,
Bug,PUP-4915,Resolved,7/22/2015,Critical,11/2/2015,103,,,,,,,,,,
Bug,PUP-3494,Resolved,10/21/2014,Critical,10/24/2014,3,,,,,,,,,,
Bug,PUP-3483,Resolved,10/17/2014,Critical,11/16/2018,1491,,,,,,,,,,
Bug,PUP-8449,Resolved,2/11/2018,Critical,2/11/2018,0,,,,,,,,,,
Bug,PUP-1572,Accepted,2/3/2014,Major,,1761,,,,,,,,,,
Bug,PUP-2368,Accepted,4/26/2014,Major,,1679,,,,,,,,,,
Bug,PUP-2717,Accepted,6/3/2014,Major,,1641,,,,,,,,,,
Bug,PUP-2887,Accepted,7/3/2014,Major,,1611,,,,,,,,,,
Bug,PUP-2905,Accepted,7/8/2014,Major,,1606,,,,,,,,,,
Bug,PUP-2931,Accepted,7/14/2014,Major,,1600,,,,,,,,,,
Bug,PUP-3116,Accepted,8/20/2014,Major,,1562,,,,,,,,,,
Bug,PUP-6038,Accepted,3/10/2016,Major,,995,,,,,,,,,,
Bug,PUP-6208,Accepted,4/21/2016,Major,,953,,,,,,,,,,
Bug,PUP-6285,Accepted,5/10/2016,Major,,934,,,,,,,,,,
Bug,PUP-6297,Accepted,5/12/2016,Major,,932,,,,,,,,,,
Bug,PUP-6447,Accepted,6/27/2016,Major,,885,,,,,,,,,,
Bug,PUP-6552,Accepted,7/26/2016,Major,,856,,,,,,,,,,
Bug,PUP-6635,Accepted,8/18/2016,Major,,834,,,,,,,,,,
Bug,PUP-6760,Accepted,9/30/2016,Major,,791,,,,,,,,,,
Bug,PUP-6802,Accepted,10/7/2016,Major,,784,,,,,,,,,,
Bug,PUP-7163,Accepted,2/1/2017,Major,,666,,,,,,,,,,
Bug,PUP-7322,Accepted,3/8/2017,Major,,631,,,,,,,,,,
Bug,PUP-8330,Accepted,1/8/2018,Major,,326,,,,,,,,,,
Bug,PUP-8518,Accepted,3/7/2018,Major,,267,,,,,,,,,,
Bug,PUP-8662,Accepted,4/13/2018,Major,,230,,,,,,,,,,
Bug,PUP-9290,Accepted,10/30/2018,Major,,31,,,,,,,,,,
Bug,PUP-9295,Accepted,10/31/2018,Major,,30,,,,,,,,,,
Bug,PUP-19,Closed,6/17/2013,Major,9/9/2013,84,,,,,,,,,,
Bug,PUP-21,Closed,6/17/2013,Major,2/27/2014,255,,,,,,,,,,
Bug,PUP-22,Closed,6/17/2013,Major,4/11/2014,298,,,,,,,,,,
Bug,PUP-25,Closed,6/17/2013,Major,5/17/2017,1430,,,,,,,,,,
Bug,PUP-29,Closed,6/17/2013,Major,6/17/2013,0,,,,,,,,,,
Bug,PUP-41,Closed,6/19/2013,Major,5/15/2017,1426,,,,,,,,,,
Bug,PUP-66,Closed,6/24/2013,Major,7/10/2013,16,,,,,,,,,,
Bug,PUP-68,Closed,6/24/2013,Major,9/3/2013,71,,,,,,,,,,
Bug,PUP-81,Closed,6/24/2013,Major,10/22/2013,120,,,,,,,,,,
Bug,PUP-82,Closed,6/24/2013,Major,9/3/2013,71,,,,,,,,,,
Bug,PUP-83,Closed,6/24/2013,Major,1/7/2014,197,,,,,,,,,,
Bug,PUP-93,Closed,6/24/2013,Major,9/3/2013,71,,,,,,,,,,
Bug,PUP-119,Closed,6/28/2013,Major,9/17/2013,81,,,,,,,,,,
Bug,PUP-121,Closed,7/1/2013,Major,6/16/2014,350,,,,,,,,,,
Bug,PUP-122,Closed,7/1/2013,Major,10/15/2013,106,,,,,,,,,,
Bug,PUP-142,Closed,7/2/2013,Major,9/13/2016,1169,,,,,,,,,,
Bug,PUP-144,Closed,7/2/2013,Major,9/13/2016,1169,,,,,,,,,,
Bug,PUP-145,Closed,7/2/2013,Major,7/15/2013,13,,,,,,,,,,
Bug,PUP-187,Closed,7/19/2013,Major,8/1/2013,13,,,,,,,,,,
Bug,PUP-197,Closed,7/30/2013,Major,10/5/2017,1528,,,,,,,,,,
Bug,PUP-205,Closed,7/31/2013,Major,9/18/2013,49,,,,,,,,,,
Bug,PUP-220,Closed,8/8/2013,Major,8/9/2013,1,,,,,,,,,,
Bug,PUP-255,Closed,8/19/2013,Major,10/11/2013,53,,,,,,,,,,
Bug,PUP-263,Closed,8/26/2013,Major,11/25/2013,91,,,,,,,,,,
Bug,PUP-264,Closed,8/26/2013,Major,12/2/2013,98,,,,,,,,,,
Bug,PUP-265,Closed,8/26/2013,Major,11/26/2013,92,,,,,,,,,,
Bug,PUP-268,Closed,8/27/2013,Major,11/13/2013,78,,,,,,,,,,
Bug,PUP-270,Closed,8/28/2013,Major,9/18/2013,21,,,,,,,,,,
Bug,PUP-271,Closed,8/28/2013,Major,8/28/2013,0,,,,,,,,,,
Bug,PUP-277,Closed,8/28/2013,Major,11/7/2013,71,,,,,,,,,,
Bug,PUP-352,Closed,9/18/2013,Major,10/4/2013,16,,,,,,,,,,
Bug,PUP-439,Closed,10/1/2013,Major,10/14/2013,13,,,,,,,,,,
Bug,PUP-535,Closed,10/8/2013,Major,1/23/2015,472,,,,,,,,,,
Bug,PUP-565,Closed,10/16/2013,Major,10/30/2013,14,,,,,,,,,,
Bug,PUP-773,Closed,11/18/2013,Major,11/22/2013,4,,,,,,,,,,
Bug,PUP-927,Closed,12/3/2013,Major,5/20/2015,533,,,,,,,,,,
Bug,PUP-1133,Closed,12/17/2013,Major,12/30/2013,13,,,,,,,,,,
Bug,PUP-1136,Closed,12/17/2013,Major,12/30/2013,13,,,,,,,,,,
Bug,PUP-1169,Closed,12/18/2013,Major,2/12/2014,56,,,,,,,,,,
Bug,PUP-1186,Closed,12/19/2013,Major,8/5/2014,229,,,,,,,,,,
Bug,PUP-1201,Closed,12/20/2013,Major,12/21/2013,1,,,,,,,,,,
Bug,PUP-1322,Closed,12/31/2013,Major,2/19/2014,50,,,,,,,,,,
Bug,PUP-1334,Closed,1/1/2014,Major,3/27/2017,1181,,,,,,,,,,
Bug,PUP-1368,Closed,1/4/2014,Major,2/4/2014,31,,,,,,,,,,
Bug,PUP-1403,Closed,1/8/2014,Major,3/23/2017,1170,,,,,,,,,,
Bug,PUP-1456,Closed,1/16/2014,Major,5/11/2014,115,,,,,,,,,,
Bug,PUP-1576,Closed,2/3/2014,Major,2/28/2014,25,,,,,,,,,,
Bug,PUP-1675,Closed,2/12/2014,Major,5/15/2017,1188,,,,,,,,,,
Bug,PUP-1742,Closed,2/20/2014,Major,6/28/2015,493,,,,,,,,,,
Bug,PUP-1744,Closed,2/21/2014,Major,10/12/2016,964,,,,,,,,,,
Bug,PUP-1765,Closed,2/25/2014,Major,3/6/2014,9,,,,,,,,,,
Bug,PUP-1802,Closed,2/27/2014,Major,12/1/2014,277,,,,,,,,,,
Bug,PUP-1890,Closed,3/7/2014,Major,6/10/2017,1191,,,,,,,,,,
Bug,PUP-1948,Closed,3/14/2014,Major,1/23/2018,1411,,,,,,,,,,
Bug,PUP-1962,Closed,3/17/2014,Major,3/19/2014,2,,,,,,,,,,
Bug,PUP-1967,Closed,3/17/2014,Major,5/16/2017,1156,,,,,,,,,,
Bug,PUP-1973,Closed,3/18/2014,Major,3/19/2014,1,,,,,,,,,,
Bug,PUP-1981,Closed,3/18/2014,Major,5/9/2014,52,,,,,,,,,,
Bug,PUP-1984,Closed,3/19/2014,Major,5/16/2017,1154,,,,,,,,,,
Bug,PUP-1986,Closed,3/19/2014,Major,4/23/2014,35,,,,,,,,,,
Bug,PUP-2031,Closed,3/25/2014,Major,5/16/2014,52,,,,,,,,,,
Bug,PUP-2041,Closed,3/26/2014,Major,3/26/2014,0,,,,,,,,,,
Bug,PUP-2082,Closed,3/27/2014,Major,3/27/2014,0,,,,,,,,,,
Bug,PUP-2129,Closed,3/31/2014,Major,5/28/2014,58,,,,,,,,,,
Bug,PUP-2146,Closed,4/3/2014,Major,4/3/2014,0,,,,,,,,,,
Bug,PUP-2156,Closed,4/4/2014,Major,4/23/2014,19,,,,,,,,,,
Bug,PUP-2177,Closed,4/8/2014,Major,7/9/2014,92,,,,,,,,,,
Bug,PUP-2182,Closed,4/8/2014,Major,5/20/2014,42,,,,,,,,,,
Bug,PUP-2189,Closed,4/9/2014,Major,9/19/2018,1624,,,,,,,,,,
Bug,PUP-2215,Closed,4/10/2014,Major,4/21/2014,11,,,,,,,,,,
Bug,PUP-2249,Closed,4/15/2014,Major,4/17/2014,2,,,,,,,,,,
Bug,PUP-2251,Closed,4/15/2014,Major,5/6/2014,21,,,,,,,,,,
Bug,PUP-2290,Closed,4/17/2014,Major,5/2/2014,15,,,,,,,,,,
Bug,PUP-2302,Closed,4/18/2014,Major,5/2/2014,14,,,,,,,,,,
Bug,PUP-2375,Closed,4/28/2014,Major,4/29/2015,366,,,,,,,,,,
Bug,PUP-2567,Closed,5/14/2014,Major,5/14/2014,0,,,,,,,,,,
Bug,PUP-2570,Closed,5/14/2014,Major,5/15/2017,1097,,,,,,,,,,
Bug,PUP-2628,Closed,5/20/2014,Major,1/23/2015,248,,,,,,,,,,
Bug,PUP-2631,Closed,5/21/2014,Major,8/22/2014,93,,,,,,,,,,
Bug,PUP-2642,Closed,5/22/2014,Major,5/4/2015,347,,,,,,,,,,
